CRT_sum,Estimate,NFC,NFC_Ra,NFC_Re,CRTEst_Calibration,Group,Group2,CRT_split,CRT_third,CRT_Four,Estimate_split,Calibration_split,NFC_split,CRT_POMP,Estimate_POMP,CRTNFC_Calibration,ZCRT_sum,ZEstimate,ZCalibration,ZNFC,ZNFC_Ra,ZNFC_Re,CRTxEstimate,CRT_Toplak,CRT_Thomson,ZCRT_Toplak,ZCRT_Thomson,CRT_ToplakxEstimate,Age,Sex,English,Random,StartDate,EndDate,Finished,confirmCode,CRTInst,CRT2_1,CRT2_2,CRT2_3,CRT2_4,CRT3_1,CRT3_2,CRT3_3,CRT3_4,RI_Inst,RI_1,RI_2,RI_3,RI_4,RI_5,RI_6,RI_7,RI_8,RI_9,RI_10,RI_11,RI_12,RI_13,RI_14,RI_15,RI_16,RI_17,RI_18,RI_19,RI_20,Length,Comments,CRT_ACC_1,CRT_ACC_2,CRT_ACC_3,CRT_ACC_4,CRT_ACC_5,CRT_ACC_6,CRT_ACC_7,CRT_ACC_8,RIb_1,RIb_2,RIb_3,RIb_4,RIb_5,RIb_6,RIb_7,RIb_8,RIb_9,RIb_10,RIb_11,RIb_12,RIb_13,RIb_14,RIb_15,RIb_16,RIb_17,RIb_18,RIb_19,RIb_20,P.RI_1,P.RI_3,P.RI_5,P.RI_6,P.RI_7,P.RI_10,P.RI_11,P.RI_15,P.RI_18,P.RI_20,P.RI_2,P.RI_4,P.RI_8,P.RI_9,P.RI_12,P.RI_13,P.RI_14,P.RI_16,P.RI_17,P.RI_19
2,5,28.75,55,2.5,-3,1,1,1,1,1,1,1,1,25,62.5,-3.75,-.85178359420423,-.386204079314462,-.603333588105541,-1.87037390432974,-.622499803244851,-2.50494255597276,.328962298774808,1,1,-.540291312636833,-.965557580273626,.20866270895851,35,1,1,2,5/17/2016,5/17/2016,1,463619,1,9,30,10,3,1,8,1,27,1,5,4,1,3,5,1,4,4,3,1,5,2,3,3,1,4,4,5,4,1,six minutes,not that i can think of,0,0,0,1,0,1,0,0,1,2,1,3,1,1,2,2,3,1,1,4,3,3,1,4,4,1,4,1,0,0,0,0,25,0,0,0,0,0,25,50,25,50,75,50,50,75,75,75
2,5,38.75,35,42.5,-3,1,1,1,1,1,1,1,1,25,62.5,-13.75,-.85178359420423,-.386204079314462,-.603333588105541,-1.36397962178311,-1.67987474298368,-.896388172489703,.328962298774808,0,2,-1.24652924272641,-.0993956332634614,.481414678525707,21,2,1,2,5/17/2016,5/17/2016,1,612826,1,3,15,10,2,1,8,3,7,1,4,5,2,4,3,2,3,4,3,3,4,4,2,4,2,3,2,1,3,3,8 minutes,n/a,0,0,0,0,0,1,1,0,2,1,2,2,3,2,3,2,3,3,2,2,2,4,2,3,2,5,3,3,25,25,50,25,50,50,25,25,100,50,0,25,25,50,25,25,75,50,25,50
2,5,37.5,47.5,27.5,-3,1,1,1,1,1,1,1,1,25,62.5,-12.5,-.85178359420423,-.386204079314462,-.603333588105541,-1.42727890710143,-1.01901540564691,-1.49959606629585,.328962298774808,1,1,-.540291312636833,-.965557580273626,.20866270895851,48,1,1,2,5/17/2016,5/17/2016,1,768497,1,3,15,20,2,1,8,1,9,1,3,4,2,4,4,1,4,4,3,1,5,3,3,3,3,3,4,2,4,2,10,"Funny thing- I am a rational, logical person however I do hate solving logic problems such as in this study.",0,0,1,0,0,1,0,0,3,2,2,2,2,1,2,2,3,1,1,3,3,3,3,3,4,4,4,2,50,25,25,0,25,0,0,50,75,25,25,25,25,50,50,50,50,50,75,75
2,5,61.25,60,62.5,-3,1,1,1,1,1,1,1,1,25,62.5,-36.25,-.85178359420423,-.386204079314462,-.603333588105541,-.224592486053178,-.358156068310142,-.0921109807481761,.328962298774808,1,1,-.540291312636833,-.965557580273626,.20866270895851,43,1,1,2,5/17/2016,5/17/2016,1,195120,1,9,31,10,3,1,8,1,9,1,2,4,4,2,4,4,2,4,3,4,4,3,4,4,3,4,4,2,4,4,6 minutes,none,0,0,0,1,0,1,0,0,4,2,4,4,2,4,4,2,3,4,2,3,4,4,3,4,4,4,4,4,75,75,25,75,75,75,25,50,75,75,25,75,25,50,50,75,75,75,75,75
2,5,92.5,85,100,-3,1,1,1,1,1,1,1,2,25,62.5,-67.5,-.85178359420423,-.386204079314462,-.603333588105541,1.35788964690505,.963562606363398,1.41590875376719,.328962298774808,0,2,-1.24652924272641,-.0993956332634614,.481414678525707,37,2,1,2,5/17/2016,5/17/2016,1,479159,1,3,30,10,2,2,8,1,27,1,1,4,5,1,1,5,1,1,1,5,1,1,4,5,5,4,5,1,4,5,5 minutes,no thanks,0,0,0,0,1,1,0,0,5,2,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5,100,100,100,100,100,100,100,100,100,100,25,100,100,100,100,75,100,75,100,75
2,5,77.5,90,65,-3,1,1,1,1,1,1,1,2,25,62.5,-52.5,-.85178359420423,-.386204079314462,-.603333588105541,.598298223085103,1.22790634129811,.00842366821951473,.328962298774808,0,2,-1.24652924272641,-.0993956332634614,.481414678525707,26,2,1,2,5/17/2016,5/17/2016,1,622006,1,3,1,10,2,1,8,3,3,1,5,1,5,1,1,4,2,1,2,4,4,1,5,4,4,4,4,4,5,5,15 minutes,I enjoyed my participation. Thank you!,0,0,0,0,0,1,1,0,1,5,5,5,5,4,4,5,4,4,2,5,5,4,4,4,4,2,5,5,0,100,100,75,75,75,25,75,25,100,100,100,100,75,100,100,75,75,75,100
2,5,71.25,72.5,70,-3,1,1,1,1,1,1,1,2,25,62.5,-46.25,-.85178359420423,-.386204079314462,-.603333588105541,.281801796493456,.302703269026628,.209492966154896,.328962298774808,2,0,.165946617452742,-1.83171952728379,-.0640892606086856,27,2,1,2,5/17/2016,5/17/2016,1,476992,1,9,29,10,3,1,7,1,6,1,2,3,4,3,2,3,1,1,2,3,2,2,3,5,4,4,3,3,5,4,40 minutes due to some technical issues with my internet connection.,"I really enjoyed this study, thank you!",0,1,0,1,0,0,0,0,4,3,4,3,4,3,5,5,4,3,4,4,3,5,4,4,3,3,5,4,75,75,75,50,100,50,75,75,50,75,50,50,100,75,75,50,100,75,50,100
0,4,26.25,30,22.5,-4,2,2,1,1,1,1,1,1,0,50,-26.25,-1.78401341674997,-1.03647932397215,-1.09245587969728,-1.9969724749664,-1.94421847791839,-1.70066536423123,1.84909302015025,0,0,-1.24652924272641,-1.83171952728379,1.29200178681258,40,2,1,2,5/17/2016,5/17/2016,1,18157,1,9,30,10,1,1,7,1,27,1,4,4,2,4,4,2,5,3,4,2,4,4,2,2,2,2,2,4,3,2,6 minutes, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,3,2,25,25,25,25,0,25,25,25,25,25,25,25,50,25,25,25,25,25,25,50
0,4,48.75,47.5,50,-4,2,2,1,1,1,1,1,1,0,50,-48.75,-1.78401341674997,-1.03647932397215,-1.09245587969728,-.857585339236471,-1.01901540564691,-.59478422558663,1.84909302015025,0,0,-1.24652924272641,-1.83171952728379,1.29200178681258,35,2,1,2,5/17/2016,5/17/2016,1,358499,1,20,15,0,2,1,7,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,10 MINUTES,NONE,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,25,50
0,4,40.2777777777778,44.4444444444444,36.1111111111111,-4,2,2,1,1,1,1,1,1,0,50,-40.2777777777778,-1.78401341674997,-1.03647932397215,-1.09245587969728,-1.28661382861626,-1.18055879921812,-1.15331005318491,1.84909302015025,0,0,-1.24652924272641,-1.83171952728379,1.29200178681258,28,1,1,2,5/17/2016,5/17/2016,1,588372,1,3,30,10,2,1,7,1,9,1,4,4,2,4,4,4,4,4,4,2,3, ,3,2,3,4,4, ,4,2,10 mins, ,0,0,0,0,0,0,0,0,2,2,2,2,2,4,2,2,2,2,3, ,3,2,3,4,4, ,4,2,25,25,25,75,25,25,50,50, ,25,25,25,25,25, ,50,25,75,75,75
